DATE,MKTGDPMYA646NWDB
1960-01-01,1916229477.13657
1961-01-01,1901856122.72231
1962-01-01,2001489602.18475
1963-01-01,2510110348.16184
1964-01-01,2674423922.48842
1965-01-01,2956337669.29525
1966-01-01,3143517943.82632
1967-01-01,3188924677.08953
1968-01-01,3330371551.21161
1969-01-01,3664552041.34299
1970-01-01,3864145667.41365
1971-01-01,4244395955.78358
1972-01-01,5043347250.41815
1973-01-01,7662902677.9027
1974-01-01,9496204301.74981
1975-01-01,9298800799.46702
1976-01-01,11050234598.6249
1977-01-01,13139488632.5546
1978-01-01,16358079862.1096
1979-01-01,21213264962.0141
1980-01-01,24488224677.2105
1981-01-01,25004285791.7865
1982-01-01,26804493635.3297
1983-01-01,30347442110.9316
1984-01-01,33942897422.0465
1985-01-01,31199633352.9598
1986-01-01,27734111399.7525
1987-01-01,32181210157.9671
1988-01-01,35272109220.1988
1989-01-01,38847965292.9185
1990-01-01,44024585239.6137
1991-01-01,49143148094.2683
1992-01-01,59167550162.956
1993-01-01,66894966968.9736
1994-01-01,74478356957.7808
1995-01-01,88705342902.7113
1996-01-01,100855393910.486
1997-01-01,100005323301.867
1998-01-01,72167498980.8398
1999-01-01,79148421052.6316
2000-01-01,93789736842.1053
2001-01-01,92783947368.4211
2002-01-01,100845526315.789
2003-01-01,110202368421.053
2004-01-01,124749473684.211
2005-01-01,143534405818.501
2006-01-01,162692258307.056
2007-01-01,193549569477.733
2008-01-01,230811614370.384
2009-01-01,202257453036.641
2010-01-01,255017638455.59
2011-01-01,297951668674.835
2012-01-01,314443047642.111
2013-01-01,323276235524.415
2014-01-01,338066095097.254
2015-01-01,301355266964.947
2016-01-01,301256033870.334
2017-01-01,319109094160.343
2018-01-01,358788845712.53
2019-01-01,365177721021.516
2020-01-01,337456163961.211
2021-01-01,373832428055.449
2022-01-01,407027451714.616
2023-01-01,399648828546.504
